Variety,Freq,M%,Phase_Corr,Permittivity_real,Permittivity_imaginary,d(cm)
KANSAS,7.0,11.3,-415.973,2.416,0.243,8.9
KANSAS,8.0,11.3,-474.289,2.412,0.246,8.9
KANSAS,9.0,11.3,-528.171,2.395,0.246,8.9
KANSAS,10.0,11.3,-585.151,2.39,0.246,8.9
KANSAS,11.0,11.3,-636.498,2.371,0.238,8.9
KANSAS,12.0,11.3,-692.677,2.368,0.229,8.9
KANSAS,13.0,11.3,-746.224,2.359,0.22,8.9
KANSAS,14.0,11.3,-805.408,2.362,0.22,8.9
KANSAS,15.0,11.3,-859.456,2.355,0.225,8.9
KANSAS,16.0,11.3,-915.798,2.353,0.232,8.9
KANSAS,17.0,11.3,-966.095,2.342,0.232,8.9
KANSAS,18.0,11.3,-1021.718,2.34,0.224,8.9
KANSAS,6.0,11.3,-386.205,2.562,0.265,8.9
KANSAS,7.0,11.3,-442.811,2.529,0.264,8.9
KANSAS,8.0,11.3,-504.973,2.524,0.264,8.9
KANSAS,9.0,11.3,-562.455,2.506,0.261,8.9
KANSAS,10.0,11.3,-623.411,2.501,0.259,8.9
KANSAS,11.0,11.3,-678.003,2.481,0.251,8.9
KANSAS,12.0,11.3,-736.716,2.474,0.243,8.9
KANSAS,13.0,11.3,-792.081,2.461,0.235,8.9
KANSAS,14.0,11.3,-853.469,2.462,0.236,8.9
KANSAS,15.0,11.3,-910.113,2.453,0.24,8.9
KANSAS,16.0,11.3,-969.361,2.45,0.248,8.9
KANSAS,17.0,11.3,-1021.407,2.435,0.248,8.9
KANSAS,18.0,11.3,-1077.359,2.429,0.239,8.9
KANSAS,6.0,11.3,-397.172,2.616,0.277,8.9
KANSAS,7.0,11.3,-454.996,2.58,0.275,8.9
KANSAS,8.0,11.3,-518.485,2.575,0.275,8.9
KANSAS,9.0,11.3,-577.348,2.555,0.27,8.9
KANSAS,10.0,11.3,-640.029,2.551,0.268,8.9
KANSAS,11.0,11.3,-696.324,2.53,0.26,8.9
KANSAS,12.0,11.3,-756.768,2.523,0.251,8.9
KANSAS,13.0,11.3,-813.521,2.509,0.244,8.9
KANSAS,14.0,11.3,-876.26,2.51,0.244,8.9
KANSAS,15.0,11.3,-934.021,2.5,0.248,8.9
KANSAS,16.0,11.3,-994.222,2.496,0.256,8.9
KANSAS,17.0,11.3,-1046.643,2.479,0.257,8.9
KANSAS,18.0,11.3,-1102.044,2.469,0.248,8.9
KANSAS,6.0,13.85,-343.799,2.614,0.329,7.7
KANSAS,7.0,13.85,-392.787,2.573,0.333,7.7
KANSAS,8.0,13.85,-446.385,2.561,0.342,7.7
KANSAS,9.0,13.85,-495.578,2.535,0.348,7.7
KANSAS,10.0,13.85,-547.508,2.524,0.352,7.7
KANSAS,11.0,13.85,-594.976,2.502,0.344,7.7
KANSAS,12.0,13.85,-647.893,2.499,0.333,7.7
KANSAS,13.0,13.85,-698.27,2.49,0.325,7.7
KANSAS,14.0,13.85,-752.334,2.491,0.327,7.7
KANSAS,15.0,13.85,-799.65,2.476,0.333,7.7
KANSAS,16.0,13.85,-848.209,2.465,0.339,7.7
KANSAS,17.0,13.85,-894.183,2.451,0.336,7.7
KANSAS,18.0,13.85,-950.458,2.458,0.333,7.7
KANSAS,6.0,13.85,-373.41,2.788,0.383,7.7
KANSAS,7.0,13.85,-426.834,2.742,0.384,7.7
KANSAS,8.0,13.85,-485.335,2.73,0.391,7.7
KANSAS,9.0,13.85,-539.335,2.704,0.391,7.7
KANSAS,10.0,13.85,-596.701,2.694,0.392,7.7
KANSAS,11.0,13.85,-648.561,2.67,0.381,7.7
KANSAS,12.0,13.85,-704.969,2.663,0.368,7.7
KANSAS,13.0,13.85,-758.025,2.648,0.356,7.7
KANSAS,14.0,13.85,-815.457,2.646,0.356,7.7
KANSAS,15.0,13.85,-866.415,2.629,0.36,7.7
KANSAS,16.0,13.85,-918.447,2.616,0.364,7.7
KANSAS,17.0,13.85,-966.448,2.597,0.357,7.7
KANSAS,18.0,13.85,-1023.766,2.599,0.344,7.7
KANSAS,6.0,13.85,-387.431,2.872,0.403,7.7
KANSAS,7.0,13.85,-443.407,2.827,0.406,7.7
KANSAS,8.0,13.85,-504.447,2.816,0.411,7.7
KANSAS,9.0,13.85,-560.832,2.789,0.406,7.7
KANSAS,10.0,13.85,-621.005,2.781,0.401,7.7
KANSAS,11.0,13.85,-675.327,2.757,0.388,7.7
KANSAS,12.0,13.85,-733.607,2.748,0.377,7.7
KANSAS,13.0,13.85,-787.725,2.729,0.368,7.7
KANSAS,14.0,13.85,-846.363,2.724,0.371,7.7
KANSAS,15.0,13.85,-898.882,2.705,0.377,7.7
KANSAS,16.0,13.85,-952.375,2.69,0.386,7.7
KANSAS,17.0,13.85,-1000.82,2.667,0.379,7.7
KANSAS,18.0,13.85,-1059.24,2.667,0.362,7.7
KANSAS,5.0,16.33,-310.991,2.785,0.404,7.7
KANSAS,6.0,16.33,-368.141,2.753,0.423,7.7
KANSAS,7.0,16.33,-421.227,2.71,0.427,7.7
KANSAS,8.0,16.33,-479.75,2.702,0.434,7.7
KANSAS,9.0,16.33,-533.844,2.679,0.434,7.7
KANSAS,10.0,16.33,-590.116,2.668,0.435,7.7
KANSAS,11.0,16.33,-638.683,2.635,0.423,7.7
KANSAS,12.0,16.33,-689.799,2.615,0.409,7.7
KANSAS,13.0,16.33,-738.553,2.593,0.395,7.7
KANSAS,14.0,16.33,-793.438,2.588,0.397,7.7
KANSAS,15.0,16.33,-844.141,2.573,0.409,7.7
KANSAS,16.0,16.33,-897.233,2.565,0.425,7.7
KANSAS,5.0,16.33,-339.583,2.992,0.467,7.7
KANSAS,6.0,16.33,-401.825,2.955,0.486,7.7
KANSAS,7.0,16.33,-459.433,2.905,0.487,7.7
KANSAS,8.0,16.33,-522.691,2.894,0.489,7.7
KANSAS,9.0,16.33,-581.388,2.867,0.479,7.7
KANSAS,10.0,16.33,-643.314,2.858,0.471,7.7
KANSAS,11.0,16.33,-697.503,2.825,0.457,7.7
KANSAS,12.0,16.33,-753.823,2.804,0.445,7.7
KANSAS,13.0,16.33,-805.958,2.775,0.435,7.7
KANSAS,14.0,16.33,-863.913,2.765,0.437,7.7
KANSAS,15.0,16.33,-917.207,2.743,0.446,7.7
KANSAS,5.0,16.33,-355.195,3.108,0.514,7.7
KANSAS,6.0,16.33,-420.426,3.069,0.532,7.7
KANSAS,7.0,16.33,-480.903,3.017,0.53,7.7
KANSAS,8.0,16.33,-546.964,3.004,0.527,7.7
KANSAS,9.0,16.33,-607.673,2.974,0.51,7.7
KANSAS,10.0,16.33,-671.193,2.96,0.496,7.7
KANSAS,11.0,16.33,-726.652,2.921,0.479,7.7
KANSAS,12.0,16.33,-784.24,2.896,0.469,7.7
KANSAS,13.0,16.33,-837.269,2.862,0.46,7.7
KANSAS,14.0,16.33,-896.318,2.847,0.463,7.7
KANSAS,15.0,16.33,-951.264,2.824,0.471,7.7
KANSAS,5.0,18.13,-287.264,2.996,0.484,6.5
KANSAS,6.0,18.13,-336.989,2.937,0.502,6.5
KANSAS,7.0,18.13,-382.29,2.869,0.503,6.5
KANSAS,8.0,18.13,-431.956,2.84,0.517,6.5
KANSAS,9.0,18.13,-477.206,2.797,0.531,6.5
KANSAS,10.0,18.13,-523.769,2.767,0.55,6.5
KANSAS,11.0,18.13,-565.88,2.727,0.546,6.5
KANSAS,12.0,18.13,-614.739,2.719,0.537,6.5
KANSAS,13.0,18.13,-663.323,2.711,0.526,6.5
KANSAS,14.0,18.13,-716.423,2.717,0.529,6.5
KANSAS,15.0,18.13,-763.337,2.705,0.533,6.5
KANSAS,5.0,18.13,-315.569,3.248,0.568,6.5
KANSAS,6.0,18.13,-370.609,3.183,0.596,6.5
KANSAS,7.0,18.13,-420.358,3.104,0.601,6.5
KANSAS,8.0,18.13,-475.197,3.073,0.614,6.5
KANSAS,9.0,18.13,-527.108,3.034,0.623,6.5
KANSAS,10.0,18.13,-583.043,3.02,0.642,6.5
KANSAS,11.0,18.13,-632.841,2.985,0.641,6.5
KANSAS,12.0,18.13,-686.121,2.971,0.628,6.5
KANSAS,13.0,18.13,-736.938,2.951,0.604,6.5
KANSAS,14.0,18.13,-792.767,2.949,0.594,6.5
KANSAS,5.0,18.13,-334.068,3.417,0.637,6.5
KANSAS,6.0,18.13,-392.296,3.346,0.669,6.5
KANSAS,7.0,18.13,-444.835,3.259,0.675,6.5
KANSAS,8.0,18.13,-502.785,3.225,0.686,6.5
KANSAS,9.0,18.13,-558.335,3.186,0.689,6.5
KANSAS,10.0,18.13,-619.283,3.18,0.702,6.5
KANSAS,11.0,18.13,-673.71,3.149,0.696,6.5
KANSAS,12.0,18.13,-730.264,3.133,0.68,6.5
KANSAS,13.0,18.13,-782.584,3.105,0.653,6.5
KANSAS,14.0,18.13,-840.09,3.098,0.639,6.5
KANSAS,7.0,20.43,-267.752,2.947,0.567,4.4
KANSAS,8.0,20.43,-300.799,2.904,0.566,4.4
KANSAS,9.0,20.43,-330.91,2.85,0.561,4.4
KANSAS,10.0,20.43,-362.574,2.817,0.566,4.4
KANSAS,11.0,20.43,-391.152,2.772,0.561,4.4
KANSAS,12.0,20.43,-422.419,2.75,0.561,4.4
KANSAS,13.0,20.43,-452.274,2.724,0.559,4.4
KANSAS,14.0,20.43,-485.647,2.716,0.57,4.4
KANSAS,15.0,20.43,-516.487,2.698,0.585,4.4
KANSAS,16.0,20.43,-548.252,2.685,0.611,4.4
KANSAS,17.0,20.43,-575.357,2.657,0.624,4.4
KANSAS,18.0,20.43,-603.818,2.637,0.635,4.4
KANSAS,6.0,20.43,-264.103,3.329,0.666,4.4
KANSAS,7.0,20.43,-298.271,3.232,0.663,4.4
KANSAS,8.0,20.43,-334.418,3.176,0.664,4.4
KANSAS,9.0,20.43,-367.32,3.109,0.655,4.4
KANSAS,10.0,20.43,-402.385,3.07,0.657,4.4
KANSAS,11.0,20.43,-434.393,3.02,0.652,4.4
KANSAS,12.0,20.43,-469.337,2.995,0.652,4.4
KANSAS,13.0,20.43,-502.446,2.965,0.65,4.4
KANSAS,14.0,20.43,-539.305,2.955,0.659,4.4
KANSAS,15.0,20.43,-573.673,2.936,0.67,4.4
KANSAS,16.0,20.43,-609.906,2.925,0.691,4.4
KANSAS,17.0,20.43,-641.282,2.898,0.7,4.4
KANSAS,18.0,20.43,-673.414,2.877,0.702,4.4
KANSAS,6.0,20.43,-286.569,3.587,0.764,4.4
KANSAS,7.0,20.43,-323.786,3.478,0.767,4.4
KANSAS,8.0,20.43,-362.611,3.411,0.774,4.4
KANSAS,9.0,20.43,-397.661,3.33,0.768,4.4
KANSAS,10.0,20.43,-435.041,3.282,0.773,4.4
KANSAS,11.0,20.43,-469.166,3.223,0.769,4.4
KANSAS,12.0,20.43,-506.214,3.19,0.773,4.4
KANSAS,13.0,20.43,-540.954,3.151,0.769,4.4
KANSAS,14.0,20.43,-579.392,3.135,0.775,4.4
KANSAS,15.0,20.43,-615.289,3.109,0.78,4.4
KANSAS,16.0,20.43,-653.551,3.096,0.793,4.4
NEBRASKA SETTLER,6.0,12.18,-428.842,2.777,0.33,8.9
NEBRASKA SETTLER,7.0,12.18,-494.096,2.749,0.328,8.9
NEBRASKA SETTLER,8.0,12.18,-563.041,2.743,0.326,8.9
NEBRASKA SETTLER,9.0,12.18,-623.701,2.71,0.314,8.9
NEBRASKA SETTLER,10.0,12.18,-687.221,2.692,0.305,8.9
NEBRASKA SETTLER,11.0,12.18,-745.293,2.663,0.297,8.9
NEBRASKA SETTLER,12.0,12.18,-808.868,2.652,0.297,8.9
NEBRASKA SETTLER,13.0,12.18,-869.954,2.637,0.297,8.9
NEBRASKA SETTLER,14.0,12.18,-939.371,2.643,0.303,8.9
NEBRASKA SETTLER,15.0,12.18,-1002.979,2.635,0.31,8.9
NEBRASKA SETTLER,16.0,12.18,-1066.157,2.628,0.315,8.9
NEBRASKA SETTLER,17.0,12.18,-1121.781,2.608,0.307,8.9
NEBRASKA SETTLER,18.0,12.18,-1184.845,2.604,0.296,8.9
NEBRASKA SETTLER,5.0,12.18,-379.602,2.917,0.338,8.9
NEBRASKA SETTLER,6.0,12.18,-453.018,2.903,0.354,8.9
NEBRASKA SETTLER,7.0,12.18,-520.909,2.868,0.35,8.9
NEBRASKA SETTLER,8.0,12.18,-592.92,2.859,0.345,8.9
NEBRASKA SETTLER,9.0,12.18,-656.764,2.824,0.332,8.9
NEBRASKA SETTLER,10.0,12.18,-724.103,2.806,0.322,8.9
NEBRASKA SETTLER,11.0,12.18,-785.852,2.776,0.316,8.9
NEBRASKA SETTLER,12.0,12.18,-852.854,2.765,0.319,8.9
NEBRASKA SETTLER,13.0,12.18,-916.063,2.746,0.322,8.9
NEBRASKA SETTLER,14.0,12.18,-987.388,2.747,0.329,8.9
NEBRASKA SETTLER,15.0,12.18,-1053.831,2.738,0.337,8.9
NEBRASKA SETTLER,16.0,12.18,-1121.741,2.733,0.345,8.9
NEBRASKA SETTLER,17.0,12.18,-1181.391,2.714,0.338,8.9
NEBRASKA SETTLER,18.0,12.18,-1248.011,2.71,0.326,8.9
NEBRASKA SETTLER,5.0,12.18,-389.45,2.98,0.362,8.9
NEBRASKA SETTLER,6.0,12.18,-463.769,2.959,0.377,8.9
NEBRASKA SETTLER,7.0,12.18,-532.371,2.92,0.371,8.9
NEBRASKA SETTLER,8.0,12.18,-605.481,2.908,0.362,8.9
NEBRASKA SETTLER,9.0,12.18,-670.757,2.872,0.346,8.9
NEBRASKA SETTLER,10.0,12.18,-739.769,2.855,0.336,8.9
NEBRASKA SETTLER,11.0,12.18,-802.893,2.824,0.33,8.9
NEBRASKA SETTLER,12.0,12.18,-871.217,2.812,0.334,8.9
NEBRASKA SETTLER,13.0,12.18,-935.472,2.791,0.337,8.9
NEBRASKA SETTLER,14.0,12.18,-1007.788,2.792,0.345,8.9
NEBRASKA SETTLER,15.0,12.18,-1075.349,2.782,0.352,8.9
NEBRASKA SETTLER,16.0,12.18,-1145.115,2.778,0.359,8.9
NEBRASKA SETTLER,17.0,12.18,-1206.519,2.759,0.353,8.9
NEBRASKA SETTLER,18.0,12.18,-1274.435,2.755,0.339,8.9
NEBRASKA SETTLER,6.0,14.58,-380.837,2.832,0.392,7.7
NEBRASKA SETTLER,7.0,14.58,-436.658,2.792,0.403,7.7
NEBRASKA SETTLER,8.0,14.58,-497.013,2.782,0.412,7.7
NEBRASKA SETTLER,9.0,14.58,-553.002,2.757,0.406,7.7
NEBRASKA SETTLER,10.0,14.58,-612.735,2.752,0.4,7.7
NEBRASKA SETTLER,11.0,14.58,-665.495,2.724,0.389,7.7
NEBRASKA SETTLER,12.0,14.58,-720.468,2.708,0.381,7.7
NEBRASKA SETTLER,13.0,14.58,-771.42,2.684,0.374,7.7
NEBRASKA SETTLER,14.0,14.58,-828.18,2.677,0.378,7.7
NEBRASKA SETTLER,15.0,14.58,-880.469,2.66,0.389,7.7
NEBRASKA SETTLER,16.0,14.58,-933.875,2.647,0.402,7.7
NEBRASKA SETTLER,17.0,14.58,-981.321,2.625,0.396,7.7
NEBRASKA SETTLER,18.0,14.58,-1037.388,2.623,0.376,7.7
NEBRASKA SETTLER,5.0,14.58,-344.364,3.031,0.426,7.7
NEBRASKA SETTLER,6.0,14.58,-409.44,3.006,0.449,7.7
NEBRASKA SETTLER,7.0,14.58,-468.817,2.958,0.455,7.7
NEBRASKA SETTLER,8.0,14.58,-533.092,2.945,0.459,7.7
NEBRASKA SETTLER,9.0,14.58,-592.766,2.917,0.447,7.7
NEBRASKA SETTLER,10.0,14.58,-656.522,2.91,0.437,7.7
NEBRASKA SETTLER,11.0,14.58,-713.069,2.88,0.424,7.7
NEBRASKA SETTLER,12.0,14.58,-771.759,2.861,0.418,7.7
NEBRASKA SETTLER,13.0,14.58,-825.168,2.831,0.411,7.7
NEBRASKA SETTLER,14.0,14.58,-883.987,2.819,0.413,7.7
NEBRASKA SETTLER,15.0,14.58,-938.425,2.797,0.421,7.7
NEBRASKA SETTLER,16.0,14.58,-994.441,2.781,0.434,7.7
NEBRASKA SETTLER,5.0,14.58,-359.506,3.145,0.467,7.7
NEBRASKA SETTLER,6.0,14.58,-427.446,3.117,0.489,7.7
NEBRASKA SETTLER,7.0,14.58,-489.457,3.067,0.492,7.7
NEBRASKA SETTLER,8.0,14.58,-556.394,3.052,0.49,7.7
NEBRASKA SETTLER,9.0,14.58,-618.193,3.021,0.472,7.7
NEBRASKA SETTLER,10.0,14.58,-683.973,3.011,0.457,7.7
NEBRASKA SETTLER,11.0,14.58,-742.422,2.978,0.443,7.7
NEBRASKA SETTLER,12.0,14.58,-803.147,2.957,0.439,7.7
NEBRASKA SETTLER,13.0,14.58,-858.043,2.923,0.434,7.7
NEBRASKA SETTLER,14.0,14.58,-918.307,2.907,0.438,7.7
NEBRASKA SETTLER,15.0,14.58,-974.74,2.884,0.445,7.7
NEBRASKA SETTLER,5.0,16.81,-337.136,2.972,0.485,7.7
NEBRASKA SETTLER,6.0,16.81,-399.512,2.939,0.505,7.7
NEBRASKA SETTLER,7.0,16.81,-456.178,2.886,0.506,7.7
NEBRASKA SETTLER,8.0,16.81,-517.815,2.87,0.506,7.7
NEBRASKA SETTLER,9.0,16.81,-575.174,2.84,0.494,7.7
NEBRASKA SETTLER,10.0,16.81,-636.313,2.831,0.488,7.7
NEBRASKA SETTLER,11.0,16.81,-689.976,2.798,0.477,7.7
NEBRASKA SETTLER,12.0,16.81,-744.906,2.775,0.467,7.7
NEBRASKA SETTLER,13.0,16.81,-795.111,2.744,0.451,7.7
NEBRASKA SETTLER,14.0,16.81,-851.107,2.731,0.445,7.7
NEBRASKA SETTLER,15.0,16.81,-902.847,2.709,0.448,7.7
NEBRASKA SETTLER,5.0,16.81,-370.146,3.22,0.556,7.7
NEBRASKA SETTLER,6.0,16.81,-438.559,3.182,0.578,7.7
NEBRASKA SETTLER,7.0,16.81,-500.699,3.121,0.577,7.7
NEBRASKA SETTLER,8.0,16.81,-567.493,3.099,0.57,7.7
NEBRASKA SETTLER,9.0,16.81,-628.97,3.061,0.546,7.7
NEBRASKA SETTLER,10.0,16.81,-694.682,3.046,0.528,7.7
NEBRASKA SETTLER,11.0,16.81,-753.264,3.01,0.513,7.7
NEBRASKA SETTLER,12.0,16.81,-813.396,2.984,0.508,7.7
NEBRASKA SETTLER,13.0,16.81,-866.367,2.942,0.501,7.7
NEBRASKA SETTLER,14.0,16.81,-923.496,2.916,0.501,7.7
NEBRASKA SETTLER,5.0,16.81,-389.608,3.37,0.613,7.7
NEBRASKA SETTLER,6.0,16.81,-461.672,3.329,0.634,7.7
NEBRASKA SETTLER,7.0,16.81,-527.153,3.264,0.63,7.7
