Variety,Freq,d(cm),M%,Density,Attn,Phase,Phase_Corr,Permittivity_real,Permittivity_imaginary,Type,Phase/Attn,Freq*d(cm),Freq*Attn
KANSAS,7.0,8.9,11.3,0.7356,8.8258,-55.973,-415.973,2.416,0.243,15.855505617977526,-6.341974665186159,62.3,61.78059999999999
KANSAS,8.0,8.9,11.3,0.7356,10.2572,-114.289,-474.289,2.412,0.246,15.855505617977526,-11.142319541395311,71.2,82.0576
KANSAS,9.0,8.9,11.3,0.7356,11.5679,-168.171,-528.171,2.395,0.246,15.855505617977526,-14.537729406374536,80.10000000000001,104.1111
KANSAS,10.0,8.9,11.3,0.7356,12.8795,134.849,-585.151,2.39,0.246,15.855505617977526,10.470049303156175,89.0,128.79500000000002
KANSAS,11.0,8.9,11.3,0.7356,13.7649,83.502,-636.498,2.371,0.238,15.855505617977526,6.066299065013185,97.9,151.4139
KANSAS,12.0,8.9,11.3,0.7356,14.4249,27.323,-692.677,2.368,0.229,15.855505617977526,1.8941552454436428,106.8,173.09879999999998
KANSAS,13.0,8.9,11.3,0.7356,15.0405,-26.224,-746.224,2.359,0.22,15.855505617977526,-1.7435590572121935,115.7,195.5265
KANSAS,14.0,8.9,11.3,0.7356,16.1934,-85.408,-805.408,2.362,0.22,15.855505617977526,-5.2742475329455205,124.6,226.7076
KANSAS,15.0,8.9,11.3,0.7356,17.7211,-139.456,-859.456,2.355,0.225,15.855505617977526,-7.869488914345045,133.5,265.8165
KANSAS,16.0,8.9,11.3,0.7356,19.5762,164.202,-915.798,2.353,0.232,15.855505617977526,8.38783829343795,142.4,313.2192
KANSAS,17.0,8.9,11.3,0.7356,20.9151,113.905,-966.095,2.342,0.232,15.855505617977526,5.44606528297737,151.3,355.5567
KANSAS,18.0,8.9,11.3,0.7356,21.31,58.282,-1021.718,2.34,0.224,15.855505617977526,2.734960112623181,160.20000000000002,383.58
KANSAS,6.0,8.9,11.3,0.7859,8.0242,-26.205,-386.205,2.562,0.265,15.855505617977526,-3.2657461179930705,53.400000000000006,48.1452
KANSAS,7.0,8.9,11.3,0.7859,9.396,-82.811,-442.811,2.529,0.264,15.855505617977526,-8.813431247339294,62.3,65.772
KANSAS,8.0,8.9,11.3,0.7859,10.752,-144.973,-504.973,2.524,0.264,15.855505617977526,-13.48335193452381,71.2,86.016
KANSAS,9.0,8.9,11.3,0.7859,12.0065,157.545,-562.455,2.506,0.261,15.855505617977526,13.12164244367634,80.10000000000001,108.0585
KANSAS,10.0,8.9,11.3,0.7859,13.2309,96.589,-623.411,2.501,0.259,15.855505617977526,7.300259241623775,89.0,132.309
KANSAS,11.0,8.9,11.3,0.7859,14.1993,41.997,-678.003,2.481,0.251,15.855505617977526,2.9576810124442754,97.9,156.1923
KANSAS,12.0,8.9,11.3,0.7859,14.9916,-16.716,-736.716,2.474,0.243,15.855505617977526,-1.1150244136716565,106.8,179.8992
KANSAS,13.0,8.9,11.3,0.7859,15.7562,-72.081,-792.081,2.461,0.235,15.855505617977526,-4.574770566507153,115.7,204.8306
KANSAS,14.0,8.9,11.3,0.7859,17.0156,-133.469,-853.469,2.462,0.236,15.855505617977526,-7.843919697219023,124.6,238.2184
KANSAS,15.0,8.9,11.3,0.7859,18.5624,169.887,-910.113,2.453,0.24,15.855505617977526,9.152210921001595,133.5,278.436
KANSAS,16.0,8.9,11.3,0.7859,20.4455,110.639,-969.361,2.45,0.248,15.855505617977526,5.411410823897679,142.4,327.128
KANSAS,17.0,8.9,11.3,0.7859,21.8303,58.593,-1021.407,2.435,0.248,15.855505617977526,2.684021749586584,151.3,371.1151
KANSAS,18.0,8.9,11.3,0.7859,22.2702,2.641,-1077.359,2.429,0.239,15.855505617977526,0.118588966421496,160.20000000000002,400.8636
KANSAS,6.0,8.9,11.3,0.8088,8.2908,-37.172,-397.172,2.616,0.277,15.855505617977526,-4.483523906016306,53.400000000000006,49.744800000000005
KANSAS,7.0,8.9,11.3,0.8088,9.6825,-94.996,-454.996,2.58,0.275,15.855505617977526,-9.81110250451846,62.3,67.77749999999999
KANSAS,8.0,8.9,11.3,0.8088,11.0879,-158.485,-518.485,2.575,0.275,15.855505617977526,-14.293509140594704,71.2,88.7032
KANSAS,9.0,8.9,11.3,0.8088,12.3237,142.652,-577.348,2.555,0.27,15.855505617977526,11.575419719727028,80.10000000000001,110.9133
KANSAS,10.0,8.9,11.3,0.8088,13.5556,79.971,-640.029,2.551,0.268,15.855505617977526,5.899480657440468,89.0,135.556
KANSAS,11.0,8.9,11.3,0.8088,14.5168,23.676,-696.324,2.53,0.26,15.855505617977526,1.6309379477570811,97.9,159.6848
KANSAS,12.0,8.9,11.3,0.8088,15.3401,-36.768,-756.768,2.523,0.251,15.855505617977526,-2.396855300812902,106.8,184.0812
KANSAS,13.0,8.9,11.3,0.8088,16.1934,-93.521,-813.521,2.509,0.244,15.855505617977526,-5.775254115874368,115.7,210.5142
KANSAS,14.0,8.9,11.3,0.8088,17.3933,-156.26,-876.26,2.51,0.244,15.855505617977526,-8.983919095283815,124.6,243.5062
KANSAS,15.0,8.9,11.3,0.8088,19.0156,145.98,-934.021,2.5,0.248,15.855505617977526,7.676854792906877,133.5,285.234
KANSAS,16.0,8.9,11.3,0.8088,21.0122,85.778,-994.222,2.496,0.256,15.855505617977526,4.082295047638991,142.4,336.1952
KANSAS,17.0,8.9,11.3,0.8088,22.3837,33.357,-1046.643,2.479,0.257,15.855505617977526,1.4902361986624195,151.3,380.5229
KANSAS,18.0,8.9,11.3,0.8088,22.9748,-22.044,-1102.044,2.469,0.248,15.855505617977526,-0.9594860455803752,160.20000000000002,413.5464
KANSAS,6.0,7.7,13.85,0.7183,8.5426,16.201,-343.799,2.614,0.329,15.855505617977526,1.8964952122304688,46.2,51.2556
KANSAS,7.0,7.7,13.85,0.7183,10.1448,-32.787,-392.787,2.573,0.333,15.855505617977526,-3.231902058197303,53.9,71.0136
KANSAS,8.0,7.7,13.85,0.7183,11.972,-86.385,-446.385,2.561,0.342,15.855505617977526,-7.21558636819245,61.6,95.776
KANSAS,9.0,7.7,13.85,0.7183,13.7227,-135.578,-495.578,2.535,0.348,15.855505617977526,-9.879834143426583,69.3,123.5043
KANSAS,10.0,7.7,13.85,0.7183,15.4938,172.492,-547.508,2.524,0.352,15.855505617977526,11.13296931675896,77.0,154.938
KANSAS,11.0,7.7,13.85,0.7183,16.7129,125.024,-594.976,2.502,0.344,15.855505617977526,7.480688569907077,84.7,183.8419
KANSAS,12.0,7.7,13.85,0.7183,17.6546,72.107,-647.893,2.499,0.333,15.855505617977526,4.084317968121623,92.4,211.8552
KANSAS,13.0,7.7,13.85,0.7183,18.7108,21.73,-698.27,2.49,0.325,15.855505617977526,1.1613613528015907,100.1,243.2404
KANSAS,14.0,7.7,13.85,0.7183,20.2646,-32.334,-752.334,2.491,0.327,15.855505617977526,-1.595590339804388,107.8,283.7044
KANSAS,15.0,7.7,13.85,0.7183,22.1581,-79.65,-799.65,2.476,0.333,15.855505617977526,-3.594622282596432,115.5,332.3715
KANSAS,16.0,7.7,13.85,0.7183,24.1522,-128.209,-848.209,2.465,0.339,15.855505617977526,-5.308377704722552,123.2,386.4352
KANSAS,17.0,7.7,13.85,0.7183,25.5145,-174.183,-894.183,2.451,0.336,15.855505617977526,-6.8268239628446565,130.9,433.7465
KANSAS,18.0,7.7,13.85,0.7183,26.7448,129.543,-950.458,2.458,0.333,15.855505617977526,4.843670545302264,138.6,481.4064
KANSAS,6.0,7.7,13.85,0.7915,9.6297,-13.41,-373.41,2.788,0.383,15.855505617977526,-1.3925667466276208,46.2,57.7782
KANSAS,7.0,7.7,13.85,0.7915,11.3406,-66.834,-426.834,2.742,0.384,15.855505617977526,-5.893338976773716,53.9,79.3842
KANSAS,8.0,7.7,13.85,0.7915,13.2309,-125.335,-485.335,2.73,0.391,15.855505617977526,-9.47290055854099,61.6,105.8472
KANSAS,9.0,7.7,13.85,0.7915,14.9429,-179.335,-539.335,2.704,0.391,15.855505617977526,-12.001351812566504,69.3,134.4861
KANSAS,10.0,7.7,13.85,0.7915,16.6537,123.3,-596.701,2.694,0.392,15.855505617977526,7.403760125377543,77.0,166.537
KANSAS,11.0,7.7,13.85,0.7915,17.9239,71.439,-648.561,2.67,0.381,15.855505617977526,3.9856839192363274,84.7,197.1629
KANSAS,12.0,7.7,13.85,0.7915,18.8619,15.031,-704.969,2.663,0.368,15.855505617977526,0.7968974493555794,92.4,226.3428
KANSAS,13.0,7.7,13.85,0.7915,19.9136,-38.025,-758.025,2.648,0.356,15.855505617977526,-1.9094990358348063,100.1,258.8768
KANSAS,14.0,7.7,13.85,0.7915,21.4116,-95.457,-815.457,2.646,0.356,15.855505617977526,-4.458190887182648,107.8,299.7624
KANSAS,15.0,7.7,13.85,0.7915,23.223,-146.415,-866.415,2.629,0.36,15.855505617977526,-6.304740989536236,115.5,348.345
KANSAS,16.0,7.7,13.85,0.7915,25.1927,161.553,-918.447,2.616,0.364,15.855505617977526,6.412690977942023,123.2,403.0832
KANSAS,17.0,7.7,13.85,0.7915,26.3752,113.552,-966.448,2.597,0.357,15.855505617977526,4.305256453031636,130.9,448.3784
KANSAS,18.0,7.7,13.85,0.7915,26.9357,56.234,-1023.766,2.599,0.344,15.855505617977526,2.0877125896115563,138.6,484.8426
KANSAS,6.0,7.7,13.85,0.8147,9.9788,-27.431,-387.431,2.872,0.403,15.855505617977526,-2.7489277267807752,46.2,59.8728
KANSAS,7.0,7.7,13.85,0.8147,11.8013,-83.407,-443.407,2.827,0.406,15.855505617977526,-7.067611195376781,53.9,82.6091
KANSAS,8.0,7.7,13.85,0.8147,13.6806,-144.447,-504.447,2.816,0.411,15.855505617977526,-10.558528134730931,61.6,109.4448
KANSAS,9.0,7.7,13.85,0.8147,15.2894,159.169,-560.832,2.789,0.406,15.855505617977526,10.410415058798907,69.3,137.6046
KANSAS,10.0,7.7,13.85,0.8147,16.7726,98.995,-621.005,2.781,0.401,15.855505617977526,5.902185707642226,77.0,167.726
KANSAS,11.0,7.7,13.85,0.8147,17.9239,44.673,-675.327,2.757,0.388,15.855505617977526,2.4923705220404044,84.7,197.1629
KANSAS,12.0,7.7,13.85,0.8147,19.0156,-13.607,-733.607,2.748,0.377,15.855505617977526,-0.715570373798355,92.4,228.1872
KANSAS,13.0,7.7,13.85,0.8147,20.2646,-67.725,-787.725,2.729,0.368,15.855505617977526,-3.3420348785566945,100.1,263.4398
KANSAS,14.0,7.7,13.85,0.8147,21.9382,-126.363,-846.363,2.724,0.371,15.855505617977526,-5.759952958765989,107.8,307.1348
KANSAS,15.0,7.7,13.85,0.8147,24.0132,-178.882,-898.882,2.705,0.377,15.855505617977526,-7.449319540919161,115.5,360.19800000000004
KANSAS,16.0,7.7,13.85,0.8147,26.3752,127.625,-952.375,2.69,0.386,15.855505617977526,4.838825866723286,123.2,422.0032
KANSAS,17.0,7.7,13.85,0.8147,27.535,79.18,-1000.82,2.667,0.379,15.855505617977526,2.875612856364627,130.9,468.095
KANSAS,18.0,7.7,13.85,0.8147,27.9588,20.76,-1059.24,2.667,0.362,15.855505617977526,0.7425211382462767,138.6,503.2584
KANSAS,5.0,7.7,16.33,0.71,8.4732,49.009,-310.991,2.785,0.404,15.855505617977526,5.784001321814663,38.5,42.366
KANSAS,6.0,7.7,16.33,0.71,10.6626,-8.141,-368.141,2.753,0.423,15.855505617977526,-0.7635098381257855,46.2,63.9756
KANSAS,7.0,7.7,16.33,0.71,12.6529,-61.227,-421.227,2.71,0.427,15.855505617977526,-4.838969722356139,53.9,88.5703
KANSAS,8.0,7.7,16.33,0.71,14.751,-119.75,-479.75,2.702,0.434,15.855505617977526,-8.118093688563487,61.6,118.008
KANSAS,9.0,7.7,16.33,0.71,16.6537,-173.844,-533.844,2.679,0.434,15.855505617977526,-10.438761356335228,69.3,149.88330000000002
KANSAS,10.0,7.7,16.33,0.71,18.5624,129.885,-590.116,2.668,0.435,15.855505617977526,6.99720941257596,77.0,185.624
KANSAS,11.0,7.7,16.33,0.71,20.0,81.317,-638.683,2.635,0.423,15.855505617977526,4.065849999999999,84.7,220.0
KANSAS,12.0,7.7,16.33,0.71,21.2096,30.201,-689.799,2.615,0.409,15.855505617977526,1.4239306729028367,92.4,254.5152
KANSAS,13.0,7.7,16.33,0.71,22.2702,-18.553,-738.553,2.593,0.395,15.855505617977526,-0.8330863665346517,100.1,289.5126
KANSAS,14.0,7.7,16.33,0.71,24.1522,-73.438,-793.438,2.588,0.397,15.855505617977526,-3.0406339795132533,107.8,338.1308
KANSAS,15.0,7.7,16.33,0.71,26.7448,-124.141,-844.141,2.573,0.409,15.855505617977526,-4.641687356046783,115.5,401.172
KANSAS,16.0,7.7,16.33,0.71,29.6297,-177.233,-897.233,2.565,0.425,15.855505617977526,-5.981599543701084,123.2,474.0752
KANSAS,5.0,7.7,16.33,0.7718,9.4217,20.417,-339.583,2.992,0.467,15.855505617977526,2.167018690894425,38.5,47.1085
KANSAS,6.0,7.7,16.33,0.7718,11.8352,-41.825,-401.825,2.955,0.486,15.855505617977526,-3.5339495741516838,46.2,71.0112
KANSAS,7.0,7.7,16.33,0.7718,13.9794,-99.433,-459.433,2.905,0.487,15.855505617977526,-7.11282315406956,53.9,97.8558
KANSAS,8.0,7.7,16.33,0.7718,16.082,-162.691,-522.691,2.894,0.489,15.855505617977526,-10.116341251088173,61.6,128.656
KANSAS,9.0,7.7,16.33,0.7718,17.7882,138.612,-581.388,2.867,0.479,15.855505617977526,7.792356730866529,69.3,160.0938
KANSAS,10.0,7.7,16.33,0.7718,19.4123,76.686,-643.314,2.858,0.471,15.855505617977526,3.9503819743152544,77.0,194.123
KANSAS,11.0,7.7,16.33,0.7718,20.8192,22.497,-697.503,2.825,0.457,15.855505617977526,1.0805890716261912,84.7,229.0112
KANSAS,12.0,7.7,16.33,0.7718,22.2702,-33.823,-753.823,2.804,0.445,15.855505617977526,-1.5187560057835134,92.4,267.2424
KANSAS,13.0,7.7,16.33,0.7718,23.7417,-85.958,-805.958,2.775,0.435,15.855505617977526,-3.620549497298003,100.1,308.6421
KANSAS,14.0,7.7,16.33,0.7718,25.6799,-143.913,-863.913,2.765,0.437,15.855505617977526,-5.604110607907352,107.8,359.5186
KANSAS,15.0,7.7,16.33,0.7718,28.1787,162.793,-917.207,2.743,0.446,15.855505617977526,5.777165021807252,115.5,422.6805
KANSAS,5.0,7.7,16.33,0.8116,10.1728,4.805,-355.195,3.108,0.514,15.855505617977526,0.4723379993708713,38.5,50.864
KANSAS,6.0,7.7,16.33,0.8116,12.7278,-60.426,-420.426,3.069,0.532,15.855505617977526,-4.7475604582095885,46.2,76.3668
KANSAS,7.0,7.7,16.33,0.8116,14.8945,-120.903,-480.903,3.017,0.53,15.855505617977526,-8.117291617711235,53.9,104.2615
KANSAS,8.0,7.7,16.33,0.8116,16.9542,173.036,-546.964,3.004,0.527,15.855505617977526,10.206084627997782,61.6,135.6336
KANSAS,9.0,7.7,16.33,0.8116,18.5624,112.327,-607.673,2.974,0.51,15.855505617977526,6.051318794983407,69.3,167.0616
KANSAS,10.0,7.7,16.33,0.8116,20.0873,48.807,-671.193,2.96,0.496,15.855505617977526,2.429744166712301,77.0,200.873
KANSAS,11.0,7.7,16.33,0.8116,21.5144,-6.652,-726.652,2.921,0.479,15.855505617977526,-0.3091882646041721,84.7,236.6584
KANSAS,12.0,7.7,16.33,0.8116,23.098,-64.24,-784.24,2.896,0.469,15.855505617977526,-2.781193176898433,92.4,277.176
KANSAS,13.0,7.7,16.33,0.8116,24.7314,-117.269,-837.269,2.862,0.46,15.855505617977526,-4.741704877200644,100.1,321.5082
KANSAS,14.0,7.7,16.33,0.8116,26.7448,-176.318,-896.318,2.847,0.463,15.855505617977526,-6.592608656636057,107.8,374.4272
KANSAS,15.0,7.7,16.33,0.8116,29.3704,128.736,-951.264,2.824,0.471,15.855505617977526,4.383188516329366,115.5,440.556
KANSAS,5.0,6.5,18.13,0.7279,8.2234,72.736,-287.264,2.996,0.484,15.855505617977526,8.845003283313472,32.5,41.117
KANSAS,6.0,6.5,18.13,0.7279,10.3425,23.011,-336.989,2.937,0.502,15.855505617977526,2.224897268552091,39.0,62.05499999999999
KANSAS,7.0,6.5,18.13,0.7279,12.2522,-22.29,-382.29,2.869,0.503,15.855505617977526,-1.8192651115717997,45.5,85.7654
KANSAS,8.0,6.5,18.13,0.7279,14.4708,-71.956,-431.956,2.84,0.517,15.855505617977526,-4.972496337451973,52.0,115.7664
KANSAS,9.0,6.5,18.13,0.7279,16.8328,-117.206,-477.206,2.797,0.531,15.855505617977526,-6.962953281688133,58.5,151.49519999999998
KANSAS,10.0,6.5,18.13,0.7279,19.4123,-163.769,-523.769,2.767,0.55,15.855505617977526,-8.436352209681491,65.0,194.123
KANSAS,11.0,6.5,18.13,0.7279,21.4116,154.12,-565.88,2.727,0.546,15.855505617977526,7.197967456892526,71.5,235.5276
KANSAS,12.0,6.5,18.13,0.7279,22.9748,105.261,-614.739,2.719,0.537,15.855505617977526,4.581585041001445,78.0,275.6976
KANSAS,13.0,6.5,18.13,0.7279,24.437,56.677,-663.323,2.711,0.526,15.855505617977526,2.3193108810410443,84.5,317.68100000000004
KANSAS,14.0,6.5,18.13,0.7279,26.3752,3.577,-716.423,2.717,0.529,15.855505617977526,0.1356198246837938,91.0,369.2528
KANSAS,15.0,6.5,18.13,0.7279,28.636,-43.337,-763.337,2.705,0.533,15.855505617977526,-1.5133747730129907,97.5,429.54
KANSAS,5.0,6.5,18.13,0.7978,9.2688,44.431,-315.569,3.248,0.568,15.855505617977526,4.793608665630933,32.5,46.344
KANSAS,6.0,6.5,18.13,0.7978,11.8013,-10.609,-370.609,3.183,0.596,15.855505617977526,-0.8989687576792388,39.0,70.8078
KANSAS,7.0,6.5,18.13,0.7978,14.0667,-60.358,-420.358,3.104,0.601,15.855505617977526,-4.29084291269452,45.5,98.4669
KANSAS,8.0,6.5,18.13,0.7978,16.4782,-115.197,-475.197,3.073,0.614,15.855505617977526,-6.990872789503707,52.0,131.8256
KANSAS,9.0,6.5,18.13,0.7978,18.9384,-167.108,-527.108,3.034,0.623,15.855505617977526,-8.823765471211928,58.5,170.4456
KANSAS,10.0,6.5,18.13,0.7978,21.7237,136.957,-583.043,3.02,0.642,15.855505617977526,6.304496931922277,65.0,217.237
KANSAS,11.0,6.5,18.13,0.7978,24.0132,87.159,-632.841,2.985,0.641,15.855505617977526,3.629628704212683,71.5,264.1452
KANSAS,12.0,6.5,18.13,0.7978,25.6799,33.879,-686.121,2.971,0.628,15.855505617977526,1.3192808383210215,78.0,308.1588
KANSAS,13.0,6.5,18.13,0.7978,26.9357,-16.938,-736.938,2.951,0.604,15.855505617977526,-0.6288308824348355,84.5,350.1641
KANSAS,14.0,6.5,18.13,0.7978,28.4043,-72.767,-792.767,2.949,0.594,15.855505617977526,-2.561830427083223,91.0,397.6602
KANSAS,5.0,6.5,18.13,0.842,10.1448,25.932,-334.068,3.417,0.637,15.855505617977526,2.556186420629288,32.5,50.724
KANSAS,6.0,6.5,18.13,0.842,12.9178,-32.296,-392.296,3.346,0.669,15.855505617977526,-2.500116118843766,39.0,77.5068
KANSAS,7.0,6.5,18.13,0.842,15.391,-84.835,-444.835,3.259,0.675,15.855505617977526,-5.511987525177051,45.5,107.737
KANSAS,8.0,6.5,18.13,0.842,17.9926,-142.785,-502.785,3.225,0.686,15.855505617977526,-7.93576248013072,52.0,143.9408
KANSAS,9.0,6.5,18.13,0.842,20.4455,161.665,-558.335,3.186,0.689,15.855505617977526,7.90711892592502,58.5,184.0095
KANSAS,10.0,6.5,18.13,0.842,23.098,100.717,-619.283,3.18,0.702,15.855505617977526,4.360420815655036,65.0,230.98
KANSAS,11.0,6.5,18.13,0.842,25.3521,46.29,-673.71,3.149,0.696,15.855505617977526,1.8258842462754563,71.5,278.8731
KANSAS,12.0,6.5,18.13,0.842,27.1309,-10.264,-730.264,3.133,0.68,15.855505617977526,-0.3783140257050079,78.0,325.5708
KANSAS,13.0,6.5,18.13,0.842,28.4043,-62.584,-782.584,3.105,0.653,15.855505617977526,-2.2033283692961985,84.5,369.2559
KANSAS,14.0,6.5,18.13,0.842,29.897,-120.09,-840.09,3.098,0.639,15.855505617977526,-4.016790982372814,91.0,418.558
KANSAS,7.0,4.4,20.43,0.6692,9.2185,92.248,-267.752,2.947,0.567,15.855505617977526,10.006834083636166,30.800000000000004,64.5295
KANSAS,8.0,4.4,20.43,0.6692,10.6036,59.201,-300.799,2.904,0.566,15.855505617977526,5.583103851522124,35.2,84.8288
KANSAS,9.0,4.4,20.43,0.6692,11.9033,29.09,-330.91,2.85,0.561,15.855505617977526,2.4438601060210194,39.6,107.1297
KANSAS,10.0,4.4,20.43,0.6692,13.4324,-2.574,-362.574,2.817,0.566,15.855505617977526,-0.1916262172061582,44.0,134.32399999999998
KANSAS,11.0,4.4,20.43,0.6692,14.751,-31.152,-391.152,2.772,0.561,15.855505617977526,-2.11185682326622,48.400000000000006,162.261
KANSAS,12.0,4.4,20.43,0.6692,16.1934,-62.419,-422.419,2.75,0.561,15.855505617977526,-3.854595081946966,52.8,194.3208
KANSAS,13.0,4.4,20.43,0.6692,17.523,-92.274,-452.274,2.724,0.559,15.855505617977526,-5.26587913028591,57.2,227.799
KANSAS,14.0,4.4,20.43,0.6692,19.2515,-125.647,-485.647,2.716,0.57,15.855505617977526,-6.526608316235099,61.60000000000001,269.521
KANSAS,15.0,4.4,20.43,0.6692,21.31,-156.487,-516.487,2.698,0.585,15.855505617977526,-7.343359924917879,66.0,319.65
KANSAS,16.0,4.4,20.43,0.6692,23.7417,171.748,-548.252,2.685,0.611,15.855505617977526,7.234022837454773,70.4,379.8672
KANSAS,17.0,4.4,20.43,0.6692,25.8486,144.643,-575.357,2.657,0.624,15.855505617977526,5.595776947300821,74.80000000000001,439.4262
KANSAS,18.0,4.4,20.43,0.6692,27.9588,116.182,-603.818,2.637,0.635,15.855505617977526,4.155471622530294,79.2,503.2584
KANSAS,6.0,4.4,20.43,0.7401,8.7304,95.897,-264.103,3.329,0.666,15.855505617977526,10.9842618894896,26.4,52.3824
KANSAS,7.0,4.4,20.43,0.7401,10.2856,61.729,-298.271,3.232,0.663,15.855505617977526,6.001497238858209,30.800000000000004,71.9992
KANSAS,8.0,4.4,20.43,0.7401,11.8692,25.582,-334.418,3.176,0.664,15.855505617977526,2.155326390995181,35.2,94.9536
KANSAS,9.0,4.4,20.43,0.7401,13.3109,-7.32,-367.32,3.109,0.655,15.855505617977526,-0.5499252492318326,39.6,119.7981
KANSAS,10.0,4.4,20.43,0.7401,14.9429,-42.385,-402.385,3.07,0.657,15.855505617977526,-2.83646414016021,44.0,149.429
KANSAS,11.0,4.4,20.43,0.7401,16.4205,-74.393,-434.393,3.02,0.652,15.855505617977526,-4.530495417313723,48.400000000000006,180.6255
KANSAS,12.0,4.4,20.43,0.7401,17.9926,-109.337,-469.337,2.995,0.652,15.855505617977526,-6.076776007914365,52.8,215.9112
KANSAS,13.0,4.4,20.43,0.7401,19.4939,-142.446,-502.446,2.965,0.65,15.855505617977526,-7.3072089217652705,57.2,253.4207
KANSAS,14.0,4.4,20.43,0.7401,21.31,-179.305,-539.305,2.955,0.659,15.855505617977526,-8.41412482402628,61.60000000000001,298.34
KANSAS,15.0,4.4,20.43,0.7401,23.3498,146.327,-573.673,2.936,0.67,15.855505617977526,6.266734618711938,66.0,350.247
KANSAS,16.0,4.4,20.43,0.7401,25.6799,110.094,-609.906,2.925,0.691,15.855505617977526,4.287166227282817,70.4,410.8784
KANSAS,17.0,4.4,20.43,0.7401,27.7443,78.718,-641.282,2.898,0.7,15.855505617977526,2.8372674747605817,74.80000000000001,471.6531
KANSAS,18.0,4.4,20.43,0.7401,29.6297,46.586,-673.414,2.877,0.702,15.855505617977526,1.572273765849806,79.2,533.3346
KANSAS,6.0,4.4,20.43,0.7945,9.6297,73.431,-286.569,3.587,0.764,15.855505617977526,7.625471198479703,26.4,57.7782
